"bairro","numero","rua","cidade"
"SÃO GERALDO","91","RUA DJALMA GOMES DA FONSECA","ITAÚNA"
"SÃO JOSÉ","310","RUA HUMBERTO FERNANDES FORTES","SÃO CAETANO DO SUL"
"VILA PÓVOA","5488","AVENIDA GOVERNADOR RONDON PACHECO","UBERLÂNDIA"
"SAMAMBAIA SUL","44","QUADRA QN 306 CONJUNTO 04","CRUZEIRO"
"CENTRO","452","RUA ZERO","ITUIUTABA"
"CONJUNTO PONTAL","206","RUA CANARINHO","UBERABA"
"LEBLON","202","RUA ÔNIX","UBERABA"
"SANTA LÚCIA","94","RUA PTOLOMEU","BELO HORIZONTE"
"LEBLON","202","RUA ÔNIX","UBERABA"
"LEBLON","114","RUA IRMÃ CARMELITA","UBERABA"
