;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
0;120001305000001;3.39;1368.91;758.58;1249.62;282;281;1;53;30;30;55;79;57;58;957;953;4;147;957;470;487;601805;601805;0;169;25;43;2;2
1;120001305000002;3.52;737.47;407.43;716.42;344;338;0;60;30;30;71;81;75;83;1211;1192;0;218;1211;598;613;385433;385033;400;271;19;22;0;2
2;120001305000003;3.53;606.4;411.93;689.39;483;476;1;70;39;39;103;123;103;107;1705;1687;1;229;1705;839;866;532208;531794;414;333;28;17;2;2
3;120001305000004;3.43;758.51;426.47;684.34;53;53;0;3;6;6;10;12;12;13;182;182;0;6;182;90;92;58853;58853;0;38;8;2;0;0
4;120001305000005;3.18;689.61;446.56;748.21;96;96;0;0;18;18;19;11;29;19;305;305;0;0;305;167;138;112979;112979;0;78;4;8;0;0
5;120001305000006;3.74;1761.27;709.22;1277.96;131;127;2;0;11;11;24;29;22;40;487;474;9;0;487;261;226;264538;263538;1000;111;6;5;0;1
6;120001305000007;3.52;851.87;413.81;766.61;104;104;0;1;4;4;27;32;17;22;366;366;0;4;366;202;164;119591;119591;0;83;9;10;0;0
7;120001305000008;3.65;430.39;206.53;548.22;218;218;0;0;22;22;48;44;44;56;796;796;0;0;796;444;352;134863;134863;0;132;6;12;0;0
8;120001305000009;3.61;342.57;173.65;392.96;177;170;0;2;23;23;30;29;39;46;637;613;0;11;637;341;296;83701;82157;1544;132;3;1;0;0
9;120001305000010;3.73;415.72;204.7;498.99;229;229;0;0;17;17;48;44;51;65;855;855;0;0;855;469;386;140217;140217;0;171;2;6;1;0
10;120001305000011;3.6;620.55;296.2;656.93;210;210;0;2;17;17;45;53;36;57;755;755;0;7;755;415;340;183941;183941;0;132;7;10;1;2
11;120001305000012;3.56;946.54;462.36;847.26;257;253;4;41;24;24;46;71;52;62;914;904;10;135;914;455;459;323655;323655;0;194;13;19;0;2
12;120001305000013;3.62;793.71;474.36;753.85;313;304;1;43;27;27;66;74;68;70;1129;1098;1;132;1129;584;545;418284;417484;800;234;14;27;2;2
13;120001305000014;3.95;820.13;372.54;728.19;210;210;0;0;25;25;35;35;42;65;829;829;0;0;829;454;375;241031;241031;0;158;12;21;0;1
14;120001305000015;4.08;442.62;212.92;505.28;147;146;0;0;9;9;24;34;25;49;598;596;0;0;598;340;258;101561;100451;1110;90;4;5;0;0
15;120001305000016;3.71;404.03;182.62;387.92;219;219;0;0;38;38;37;41;34;61;812;812;0;0;812;463;349;115599;115599;0;198;2;6;0;0
16;120005405000001;3.61;914.33;562.63;984.94;261;251;2;33;34;34;45;52;60;65;941;916;4;97;941;463;478;412059;412059;0;144;34;43;1;0
17;120005405000002;3.59;1126.38;634.65;1043.73;292;272;0;50;31;31;51;59;65;63;1012;980;0;142;1012;520;492;498400;498400;0;173;22;57;2;1
18;120005405000003;3.74;625.27;380.27;644.56;469;457;0;52;38;38;80;116;92;127;1747;1717;0;174;1747;847;900;495542;495542;0;353;20;26;0;2
19;120005405000004;5.04;241.47;151.99;342.57;49;49;0;0;5;5;2;7;7;24;247;247;0;0;247;123;124;21582;21582;0;23;0;0;0;0
20;120005405000007;6.61;95.22;43.26;373.64;23;0;0;0;0;0;0;0;0;0;152;0;0;0;152;71;81;0;0;0;0;0;0;0;0
21;120005405000008;7.0;510.0;127.5;510.0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;7;4;3;0;0;0;0;0;0;0;0
22;120005405000009;4.68;209.68;124.84;396.42;53;53;0;0;4;4;4;8;16;15;248;248;0;0;248;140;108;22596;22596;0;30;0;1;0;0
23;120005405000010;4.18;190.38;101.54;627.38;225;225;0;0;20;20;30;38;55;70;940;940;0;0;940;499;441;70017;70017;0;57;2;2;1;0
24;120005405000011;4.1;92.39;67.19;312.13;49;49;0;0;5;5;10;9;4;19;201;201;0;0;201;112;89;9676;9676;0;11;0;0;0;0
25;120005405000012;4.03;457.61;233.15;620.34;143;143;0;0;11;11;26;30;23;47;577;577;0;0;577;312;265;102517;102517;0;81;4;6;1;0
26;120010405000001;3.32;1239.91;753.73;1167.84;326;294;20;73;42;42;70;72;68;62;1075;999;46;199;1075;507;568;692091;686951;5140;188;44;62;2;5
27;120010405000002;2.97;1185.65;691.07;1419.38;273;208;64;94;51;51;53;76;52;41;812;687;121;210;812;397;415;473052;473052;0;108;29;63;3;3
28;120010405000003;3.3;1057.96;646.18;1123.38;405;399;6;81;40;40;88;108;93;75;1336;1326;10;264;1336;652;684;708854;708854;0;220;31;85;3;1
