;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
0;270010205000001;3.77;633.74;348.69;610.98;322;315;0;47;22;22;57;75;71;4921112;1195;1188;0;162;1195;590;605;343926;343926;0;253;7;17;1;1
1;270010205000002;3.99;773.12;402.86;700.0;222;222;0;19;14;14;34;49;44;471692;886;886;0;72;886;434;452;295849;295849;0;173;12;13;0;3
2;270010205000003;3.92;514.72;293.06;519.13;276;276;0;52;13;13;44;57;75;4423125;1083;1083;0;179;1083;523;560;253724;253724;0;220;9;11;0;0
3;270010205000004;3.44;503.38;303.83;576.76;77;77;0;0;9;9;12;21;18;10501;265;265;0;0;265;130;135;68058;68058;0;55;4;3;0;0
4;270010205000005;4.61;304.49;178.1;363.82;270;270;0;1;19;19;36;52;38;39322311;1244;1244;0;4;1244;624;620;170268;170268;0;224;3;0;0;0
5;270010205000006;4.03;383.19;202.99;376.54;151;151;0;0;12;12;24;39;31;141186;608;608;0;0;608;316;292;101290;101290;0;126;3;1;0;0
6;270010205000007;3.86;183.17;115.09;348.88;29;29;0;0;2;2;5;6;7;4221;112;112;0;0;112;59;53;11164;11164;0;11;0;0;0;0
7;270010205000008;4.82;201.71;115.38;353.39;119;119;0;1;10;10;10;20;21;132097;573;573;0;3;573;307;266;50535;50535;0;51;2;0;0;0
8;270010205000009;4.13;434.8;252.8;397.76;345;345;0;0;31;31;59;73;52;48252417;1425;1425;0;0;1425;733;692;281617;281617;0;294;12;5;0;0
9;270010205000010;4.79;277.98;151.42;314.57;394;388;0;0;34;34;57;59;63;45402820;1876;1860;0;0;1876;959;917;206989;206137;852;309;2;2;0;0
