;Cod_setor;MediaMoradorDomicilio;RendaMediaDomicilio;RendaMediaPerCapitaGeral;RendaMediaPerCapitaComRendimento;nAbsDomicilios;nAbsDomiciliosCasa;nAbsDomiciliosApto;nAbsImoveisAlugados;nAbs1PessoasDomicilio;nAbs1PessoasDomicilio;nAbs2PessoasDomicilio;nAbs3PessoasDomicilio;nAbs4PessoasDomicilio;nAbs5ouMaisPessoasDomicilio;nAbsHabitantes;nAbsMoradoresCasa;nAbsMoradoresApto;nAbsMoradoresImoveisAlugados;nAbsConjuges;nAbsHomensResidentes;nAbsMulheresResidentes;TotalRendNomMensalDomParticulares;TotalRendimentoNomMensalDomParticularesPermanentes;TotalRendimentoNomMensalDomParitulcaresImprovisados;nAbsPessoasClasseE;nAbsPessoasClasseD;nAbsPessoasClasseC;nAbsPessoasClasseB;nAbsPessoasClasseA
0;160005505000001;3.65;1385.78;856.89;1446.06;513;498;11;42;58;58;100;103;113;55412511;1870;1827;30;126;1870;980;890;1242934;1242424;510;249;65;106;8;9
1;160005505000003;4.1;522.69;262.29;619.97;220;214;0;17;27;27;30;38;34;3619139;892;879;0;61;892;462;430;170241;166443;3798;137;16;11;0;0
2;160005505000004;3.87;617.82;325.35;639.97;180;180;0;0;31;31;28;33;27;191995;696;696;0;0;696;394;302;174711;174711;0;114;13;18;0;0
3;160005510000001;3.76;560.2;416.8;766.33;188;181;2;14;19;19;31;44;33;2716115;705;690;4;39;705;375;330;217895;217895;0;117;10;15;0;0
4;160005510000002;4.17;360.48;223.86;580.63;52;51;0;0;7;7;5;7;11;10631;217;216;0;0;217;122;95;37160;37160;0;35;2;0;0;0
5;160010505000001;4.17;1459.33;751.17;1488.53;229;222;1;22;29;29;34;46;31;2920137;946;929;1;71;946;506;440;555221;555221;0;123;12;44;9;5
6;160010505000002;4.77;588.9;318.02;626.98;319;318;0;8;17;17;34;62;49;46412818;1520;1517;0;28;1520;773;747;374006;374006;0;226;17;21;2;1
7;160010505000003;4.55;1488.44;747.31;1241.29;248;237;0;9;18;18;31;44;40;41201013;1108;1080;0;27;1108;578;530;641136;640136;1000;133;25;55;6;5
8;160010505000004;4.38;834.0;460.14;876.06;312;301;11;33;27;27;39;45;60;60331915;1368;1330;38;133;1368;688;680;491848;491848;0;190;29;40;2;1
9;160010505000005;4.23;691.49;378.72;691.25;345;341;1;23;41;41;42;61;72;37342610;1452;1446;1;74;1452;760;692;405672;405672;0;246;10;24;1;3
10;160010505000006;3.0;203.33;314.17;471.25;3;0;0;0;0;0;0;0;0;0;9;0;0;0;9;6;3;0;0;0;0;0;0;0;0
11;160010505000007;2.85;408.88;255.16;504.24;34;34;0;3;7;7;11;3;8;4010;97;97;0;7;97;56;41;21178;21178;0;23;1;0;0;0
12;160010505000009;5.45;518.18;217.54;555.94;11;0;0;0;0;0;0;0;0;0;60;0;0;0;60;44;16;0;0;0;0;0;0;0;0
13;160010505000010;3.81;451.39;222.8;450.79;62;62;0;4;17;17;10;8;5;5562;236;236;0;6;236;125;111;38768;38768;0;51;2;1;0;0
14;160010505000011;5.14;523.45;217.68;532.58;65;65;0;0;6;6;4;11;8;12862;334;334;0;0;334;192;142;54856;54856;0;54;1;4;0;0
15;160010515000001;6.14;648.68;311.64;519.83;92;91;0;0;8;8;6;9;9;101298;565;555;0;0;565;276;289;125278;125278;0;72;8;8;0;0
16;160010515000003;4.7;551.64;281.67;635.15;69;68;0;1;8;8;8;12;10;61072;324;322;0;1;324;176;148;64785;64785;0;37;1;3;0;1
17;160010515000004;4.17;467.5;285.0;510.0;12;12;0;0;3;3;3;0;0;1211;50;50;0;0;50;31;19;9690;9690;0;11;0;0;0;0
18;160015405000001;4.07;968.42;615.38;1012.28;394;294;8;66;42;42;52;59;57;4827258;1417;1242;13;204;1417;774;643;528533;517953;10580;241;25;54;1;3
19;160015405000002;4.11;1284.95;673.17;1277.93;318;272;0;44;34;34;41;53;46;36301710;1263;1129;0;146;1263;654;609;597013;559643;37370;162;23;49;2;5
20;160015405000003;4.42;906.37;485.22;895.26;169;160;0;13;15;15;18;28;30;291766;720;709;0;36;720;374;346;249903;249903;0;105;11;19;0;2
21;160015405000004;4.33;958.33;547.72;614.67;25;0;0;0;0;0;0;0;0;0;106;0;0;0;106;87;19;0;0;0;0;0;0;0;0
22;160015405000005;3.6;507.74;331.05;559.35;525;463;22;1;134;134;73;67;56;61371517;1794;1721;23;3;1794;1114;680;438916;433873;5043;409;11;14;0;1
23;160015405000006;4.14;556.22;241.79;589.36;63;63;0;2;12;12;7;10;7;9492;261;261;0;8;261;146;115;47149;47149;0;42;3;4;0;0
